node1,node2,relations
titre,poivron,[]
poivron,huile,[]
huile,ingrédient,"[{""id"": 558642724, ""node1"": 141971, ""node2"": 123418, ""type"": 0, ""w"": 27.0}, {""id"": 24930589, ""node1"": 141971, ""node2"": 123418, ""type"": 6, ""w"": 2.0}]"
poivron,rouge,"[{""id"": 273173, ""node1"": 38257, ""node2"": 86356, ""type"": 0, ""w"": 151.0}, {""id"": 1944118, ""node1"": 38257, ""node2"": 86356, ""type"": 17, ""w"": 36.0}, {""id"": 3160591, ""node1"": 38257, ""node2"": 86356, ""type"": 106, ""w"": 11.0}]"
poivron,vinaigre,[]
vinaigre,alcool,"[{""id"": 606194778, ""node1"": 145443, ""node2"": 47597, ""type"": 0, ""w"": 7.0}, {""id"": 604555619, ""node1"": 145443, ""node2"": 47597, ""type"": 6, ""w"": 32.0}, {""id"": 434562941, ""node1"": 145443, ""node2"": 47597, ""type"": 50, ""w"": 26.0}, {""id"": 72930125, ""node1"": 145443, ""node2"": 47597, ""type"": 777, ""w"": 10.0}]"
alcool,vin,"[{""id"": 98874, ""node1"": 47597, ""node2"": 35798, ""type"": 0, ""w"": 475.0}, {""id"": 31351059, ""node1"": 47597, ""node2"": 35798, ""type"": 3, ""w"": 30.0}, {""id"": 122559, ""node1"": 47597, ""node2"": 35798, ""type"": 8, ""w"": 104.0}, {""id"": 9975794, ""node1"": 47597, ""node2"": 35798, ""type"": 9, ""w"": 11.0}, {""id"": 417007, ""node1"": 47597, ""node2"": 35798, ""type"": 10, ""w"": 84.0}, {""id"": 1563107, ""node1"": 47597, ""node2"": 35798, ""type"": 20, ""w"": 61.0}, {""id"": 376998648, ""node1"": 47597, ""node2"": 35798, ""type"": 21, ""w"": 26.0}, {""id"": 376052412, ""node1"": 47597, ""node2"": 35798, ""type"": 51, ""w"": 32.0}, {""id"": 646191175, ""node1"": 47597, ""node2"": 35798, ""type"": 666, ""w"": 6.0}]"
vin,blanc,"[{""id"": 61837, ""node1"": 35798, ""node2"": 15196, ""type"": 0, ""w"": 534.0}, {""id"": 54666180, ""node1"": 35798, ""node2"": 15196, ""type"": 5, ""w"": 76.0}, {""id"": 3170069, ""node1"": 35798, ""node2"": 15196, ""type"": 8, ""w"": 66.0}, {""id"": 8997815, ""node1"": 35798, ""node2"": 15196, ""type"": 17, ""w"": 39.0}, {""id"": 31148619, ""node1"": 35798, ""node2"": 15196, ""type"": 27, ""w"": 23.0}, {""id"": 3160066, ""node1"": 35798, ""node2"": 15196, ""type"": 106, ""w"": 6.0}, {""id"": 1526707, ""node1"": 35798, ""node2"": 15196, ""type"": 666, ""w"": 4.0}]"
vin,sec,"[{""id"": 558785883, ""node1"": 35798, ""node2"": 63619, ""type"": 0, ""w"": 55.0}]"
titre,oignon,[]
oignon,huile,"[{""id"": 3937482, ""node1"": 123307, ""node2"": 141971, ""type"": 777, ""w"": 1.0}]"
gousse,ail,"[{""id"": 1841967, ""node1"": 3889, ""node2"": 26979, ""type"": 0, ""w"": 58.0}, {""id"": 665112731, ""node1"": 3889, ""node2"": 26979, ""type"": 174, ""w"": 40.0}, {""id"": 714921743, ""node1"": 3889, ""node2"": 26979, ""type"": 666, ""w"": 3.0}]"
ajouter,poivron,[]
ajouter,cuire,[]
cuire,min,[]
couvrir,huile,[]
huile,olive,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]"
