head,lemma,dep,pos,sim,relations,relation_name,w
concerner,cuisine,obj,NOUN,0.6019042730331421,[],,
partager,connaissance,obj,NOUN,0.4124003052711487,"[{""id"": 929699725, ""node1"": 122353, ""node2"": 104243, ""type"": 14, ""w"": 30.0}]",r_patient,30.0
pâtisserie,traditionnel,amod,ADJ,0.615527868270874,"[{""id"": 957285068, ""node1"": 25966, ""node2"": 41139, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
pâtisserie,japonais,amod,ADJ,0.5042011737823486,[],,
pâtisserie,faire,acl,VERB,0.6206744909286499,[],,
faire,riz,obj,NOUN,0.6955592036247253,[],,
haricot,rouge,amod,ADJ,0.5174258351325989,"[{""id"": 8849821, ""node1"": 114886, ""node2"": 86356, ""type"": 0, ""w"": 42.0}, {""id"": 2111127, ""node1"": 114886, ""node2"": 86356, ""type"": 17, ""w"": 26.0}, {""id"": 3164403, ""node1"": 114886, ""node2"": 86356, ""type"": 106, ""w"": 14.0}]",r_associated,42.0
élaborer,tremper,advcl,VERB,0.5292861461639404,[],,
tremper,riz,obj,NOUN,0.6831400990486145,[],,
cuit,riz,nsubj,NOUN,0.7372003793716431,"[{""id"": 796934425, ""node1"": 28105, ""node2"": 24372, ""type"": 0, ""w"": 30.0}, {""id"": 14797378, ""node1"": 28105, ""node2"": 24372, ""type"": 23, ""w"": 45.0}]",r_carac-1,45.0
utiliser,cuit,advcl,ADJ,0.7142055034637451,[],,
couche,épaisse,amod,NOUN,0.4598514139652252,"[{""id"": 372652674, ""node1"": 19152, ""node2"": 154650, ""type"": 17, ""w"": 36.0}]",r_carac,36.0
couche,pâte,nmod,NOUN,0.6256560683250427,"[{""id"": 720819467, ""node1"": 19152, ""node2"": 34069, ""type"": 174, ""w"": 25.0}]",r_quantificateur-1,25.0
couche,haricot,nmod,NOUN,0.5589699149131775,[],,
boulette,riz,nmod,ADV,0.6672343611717224,"[{""id"": 561335315, ""node1"": 112360, ""node2"": 24372, ""type"": 0, ""w"": 31.0}]",r_associated,31.0
boulette,former,acl,VERB,0.4945351183414459,[],,
ajouter,variante,nsubj,NOUN,0.4608918726444244,[],,
ajouter,couverture,obj,NOUN,0.4492647051811218,[],,
couverture,farine,nmod,NOUN,0.6370855569839478,[],,
couverture,soja,acl,NOUN,0.5649154782295227,[],,
proche,recette,nsubj,NOUN,0.5768656134605408,[],,
texture,pâte,nmod,NOUN,0.6247856020927429,"[{""id"": 720489164, ""node1"": 4910, ""node2"": 34069, ""type"": 173, ""w"": 25.0}]",r_has_prop-1,25.0
pâte,haricot,nmod,NOUN,0.6682611703872681,[],,
haricot,utiliser,acl,VERB,0.5500979423522949,[],,
