head,lemma,dep,pos,sim,relation,relation_name,w
titre,Poulet,nmod,PROPN,0.4211511015892029,[],,
Poulet,ingrédient,nmod,NOUN,0.5628471970558167,[],,
Poulet,poulet,nmod,NOUN,0.5339581966400146,"[{""id"": 14479785, ""node1"": 85972, ""node2"": 146261, ""type"": 0, ""w"": 30.0}, {""id"": 527111653, ""node1"": 85972, ""node2"": 146261, ""type"": 71, ""w"": 29.0}]",r_associated,30.0
Poulet,vin,nmod,NOUN,0.608909010887146,[],,
vin,blanc,amod,ADJ,0.6016787886619568,"[{""id"": 61837, ""node1"": 35798, ""node2"": 15196, ""type"": 0, ""w"": 534.0}, {""id"": 54666180, ""node1"": 35798, ""node2"": 15196, ""type"": 5, ""w"": 76.0}, {""id"": 3170069, ""node1"": 35798, ""node2"": 15196, ""type"": 8, ""w"": 66.0}, {""id"": 8997815, ""node1"": 35798, ""node2"": 15196, ""type"": 17, ""w"": 39.0}, {""id"": 31148619, ""node1"": 35798, ""node2"": 15196, ""type"": 27, ""w"": 23.0}, {""id"": 3160066, ""node1"": 35798, ""node2"": 15196, ""type"": 106, ""w"": 6.0}, {""id"": 1526707, ""node1"": 35798, ""node2"": 15196, ""type"": 666, ""w"": 4.0}]",r_associated,534.0
Poulet,colorer,acl,VERB,0.5903876423835754,[],,
couper,poulet,nmod,NOUN,0.6432042717933655,"[{""id"": 31823943, ""node1"": 128828, ""node2"": 146261, ""type"": 14, ""w"": 59.0}]",r_patient,59.0
préparer,pâte,obj,NOUN,0.6504604816436768,"[{""id"": 97862162, ""node1"": 36246, ""node2"": 34069, ""type"": 14, ""w"": 35.0}]",r_patient,35.0
moutarde,huile,amod,NOUN,0.6240794658660889,"[{""id"": 652308749, ""node1"": 28335, ""node2"": 141971, ""type"": 0, ""w"": 22.0}, {""id"": 113266836, ""node1"": 28335, ""node2"": 141971, ""type"": 777, ""w"": 10.0}]",r_associated,22.0
poulet,pâte,nmod,NOUN,0.7252311110496521,[],,
cuire,le,obj,DET,0.4500194191932678,[],,
